sentence1,sentence2,label,heuristics,number-of-np,semtag,example1,example2,note
np1 が np2 を tv-o,np2 を np1 が tv-o,entailment,overlap-full,2,scrambling,犬が猫を追いかけた,猫を犬が追いかけた,
np1 が np2 を tv-o,np2 は np1 が tv-o,entailment,overlap-nonorder,2,scrambling;wa,犬が猫を追いかけた,猫は犬が追いかけた,
np1 が np2 を tv-o,np1 を np2 が tv-o,non-entailment,overlap-full,2,scrambling;particle-swap,犬が猫を追いかけた,犬を猫が追いかけた,
np1 が np2 を tv-o,np2 が np1 を tv-o,non-entailment,overlap-full,2,scrambling;np-swap,犬が猫を追いかけた,猫が犬を追いかけた,
np1 を np2 が tv-o,np2 が np1 を tv-o,entailment,overlap-full,2,scrambling,猫を犬が追いかけた,犬が猫を追いかけた,
np1 を np2 が tv-o,np2 は np1 を tv-o,entailment,overlap-nonorder,2,scrambling;wa,猫を犬が追いかけた,犬は猫を追いかけた,
np1 を np2 が tv-o,np1 が np2 を tv-o,non-entailment,overlap-full,2,scrambling;particle-swap,猫を犬が追いかけた,猫が犬を追いかけた,
np1 を np2 が tv-o,np2 を np1 が tv-o,non-entailment,overlap-full,2,scrambling;np-swap,猫を犬が追いかけた,犬を猫が追いかけた,
np1 が np2 に tv-ni,np2 に np1 が tv-ni,entailment,overlap-full,2,scrambling,犬が猫に噛みついた,猫に犬が噛みついた,
np1 が np2 に tv-ni,np2 は np1 が tv-ni,entailment,overlap-nonorder,2,scrambling;wa,犬が猫に噛みついた,猫は犬が噛みついた,
np1 が np2 に tv-ni,np1 に np2 が tv-ni,non-entailment,overlap-full,2,scrambling;particle-swap,犬が猫に噛みついた,犬に猫が噛みついた,
np1 が np2 に tv-ni,np2 が np1 に tv-ni,non-entailment,overlap-full,2,scrambling;np-swap,犬が猫に噛みついた,猫が犬に噛みついた,
np1 に np2 が tv-ni,np2 が np1 に tv-ni,entailment,overlap-full,2,scrambling,猫に犬が噛みついた,犬が猫に噛みついた,
np1 に np2 が tv-ni,np2 は np1 に tv-ni,entailment,overlap-nonorder,2,scrambling;wa,猫に犬が噛みついた,犬は猫に噛みついた,
np1 に np2 が tv-ni,np1 が np2 に tv-ni,non-entailment,overlap-full,2,scrambling;particle-swap,猫に犬が噛みついた,猫が犬に噛みついた,
np1 に np2 が tv-ni,np2 に np1 が tv-ni,non-entailment,overlap-full,2,scrambling;np-swap,猫に犬が噛みついた,犬に猫が追いかけた,
np1 か np2 が iv,np1 が iv,non-entailment,overlap-order,2,np-coordination;disjunction,犬か猫が転んだ,犬が転んだ,
np1 か np2 が iv,np2 が iv,non-entailment,subsequence,2,np-coordination;disjunction,犬か猫が転んだ,猫が転んだ,
np1 と np2 が iv,np1 が iv,entailment,overlap-order,2,np-coordination;conjunction,犬と猫が転んだ,犬が転んだ,
np1 と np2 が iv,np2 が iv,entailment,subsequence,2,np-coordination;conjunction,犬と猫が転んだ,猫が転んだ,
np1 が np2 か np3 を tv-o,np1 が np2 を tv-o,non-entailment,overlap-order,3,np-coordination;disjunction,猫が犬か子供を追いかけた,猫が犬を追いかけた,
np1 が np2 か np3 を tv-o,np1 が np3 を tv-o,non-entailment,overlap-order,3,np-coordination;disjunction,猫が犬か子供を追いかけた,猫が子供を追いかけた,
