	sentence_A_Ja	sentence_B_Ja	entailment_label_Ja	heuristics	number_of_NPs	semtag	split
0	学生がフットボール選手をたたいている	フットボール選手を学生がたたいている	entailment	overlap-full	2	scrambling	train
1	老人が女の子を追い払った	女の子を老人が追い払った	entailment	overlap-full	2	scrambling	train
2	男性が大人を追い回した	大人を男性が追い回した	entailment	overlap-full	2	scrambling	train
3	女の子が大人を見ている	大人を女の子が見ている	entailment	overlap-full	2	scrambling	train
4	男性がフットボール選手を追い払った	フットボール選手を男性が追い払った	entailment	overlap-full	2	scrambling	train
5	テニス選手がカップルを追い回した	カップルをテニス選手が追い回した	entailment	overlap-full	2	scrambling	train
6	スノーボーダーが学生をにらんでいる	学生をスノーボーダーがにらんでいる	entailment	overlap-full	2	scrambling	train
7	男性がライダーを助けた	ライダーを男性が助けた	entailment	overlap-full	2	scrambling	train
8	男性が子供をたたいている	子供を男性がたたいている	entailment	overlap-full	2	scrambling	train
9	カップルが学生を追い回した	学生をカップルが追い回した	entailment	overlap-full	2	scrambling	test
10	サーファーが大人を押した	大人をサーファーが押した	entailment	overlap-full	2	scrambling	train
11	サーファーがカップルをにらんでいる	カップルをサーファーがにらんでいる	entailment	overlap-full	2	scrambling	train
12	若者がフットボール選手を見ている	フットボール選手を若者が見ている	entailment	overlap-full	2	scrambling	train
13	フットボール選手が会社員を助けた	会社員をフットボール選手が助けた	entailment	overlap-full	2	scrambling	train
14	サーファーがライダーを蹴った	ライダーをサーファーが蹴った	entailment	overlap-full	2	scrambling	train
15	男の子が女性を追いかけている	女性を男の子が追いかけている	entailment	overlap-full	2	scrambling	train
16	サーファーがライダーをにらんでいる	ライダーをサーファーがにらんでいる	entailment	overlap-full	2	scrambling	train
17	ホッケー選手がテニス選手を見ている	テニス選手をホッケー選手が見ている	entailment	overlap-full	2	scrambling	train
18	男の子が女の子を追い回した	女の子を男の子が追い回した	entailment	overlap-full	2	scrambling	train
19	カップルが老人を見つめている	老人をカップルが見つめている	entailment	overlap-full	2	scrambling	train
20	子供が男の子をいじめている	男の子を子供がいじめている	entailment	overlap-full	2	scrambling	train
21	カップルが若者を見ている	若者をカップルが見ている	entailment	overlap-full	2	scrambling	train
22	女性がテニス選手を追いかけている	テニス選手を女性が追いかけている	entailment	overlap-full	2	scrambling	train
23	大人が女性を追い払った	女性を大人が追い払った	entailment	overlap-full	2	scrambling	test
24	女性が男の子をたたいている	男の子を女性がたたいている	entailment	overlap-full	2	scrambling	train
25	ホッケー選手がフットボール選手を見ている	フットボール選手をホッケー選手が見ている	entailment	overlap-full	2	scrambling	train
26	老人がテニス選手を助けた	テニス選手を老人が助けた	entailment	overlap-full	2	scrambling	train
27	ホッケー選手がライダーをにらんでいる	ライダーをホッケー選手がにらんでいる	entailment	overlap-full	2	scrambling	train
28	サーファーがフットボール選手を押した	フットボール選手をサーファーが押した	entailment	overlap-full	2	scrambling	train
29	会社員が女性を指さしている	女性を会社員が指さしている	entailment	overlap-full	2	scrambling	test
30	老人が女の子をいじめている	女の子を老人がいじめている	entailment	overlap-full	2	scrambling	train
31	カップルが女性を見ている	女性をカップルが見ている	entailment	overlap-full	2	scrambling	train
32	老人がスノーボーダーをたたいている	スノーボーダーを老人がたたいている	entailment	overlap-full	2	scrambling	train
33	子供が大人を追い払った	大人を子供が追い払った	entailment	overlap-full	2	scrambling	train
34	学生がライダーをたたいている	ライダーを学生がたたいている	entailment	overlap-full	2	scrambling	train
35	テニス選手がサーファーを助けた	サーファーをテニス選手が助けた	entailment	overlap-full	2	scrambling	train
36	女の子がカップルを押した	カップルを女の子が押した	entailment	overlap-full	2	scrambling	train
37	ホッケー選手がライダーを助けた	ライダーをホッケー選手が助けた	entailment	overlap-full	2	scrambling	train
38	サーファーが学生を指さしている	学生をサーファーが指さしている	entailment	overlap-full	2	scrambling	train
39	女性がカップルを見つめている	カップルを女性が見つめている	entailment	overlap-full	2	scrambling	train
40	会社員が大人を見つめている	大人を会社員が見つめている	entailment	overlap-full	2	scrambling	train
41	テニス選手が学生を蹴った	学生をテニス選手が蹴った	entailment	overlap-full	2	scrambling	train
42	テニス選手がスノーボーダーをにらんでいる	スノーボーダーをテニス選手がにらんでいる	entailment	overlap-full	2	scrambling	train
43	テニス選手がスノーボーダーを見つめている	スノーボーダーをテニス選手が見つめている	entailment	overlap-full	2	scrambling	train
44	テニス選手が老人を見つめている	老人をテニス選手が見つめている	entailment	overlap-full	2	scrambling	train
45	子供が老人を指さしている	老人を子供が指さしている	entailment	overlap-full	2	scrambling	train
46	大人がサーファーをたたいている	サーファーを大人がたたいている	entailment	overlap-full	2	scrambling	train
47	女性がサーファーを追い払った	サーファーを女性が追い払った	entailment	overlap-full	2	scrambling	train
48	フットボール選手がテニス選手を追いかけている	テニス選手をフットボール選手が追いかけている	entailment	overlap-full	2	scrambling	train
49	ライダーが女性を追いかけている	女性をライダーが追いかけている	entailment	overlap-full	2	scrambling	train
50	テニス選手が女性を押した	女性をテニス選手が押した	entailment	overlap-full	2	scrambling	train
51	ライダーが学生を押した	学生をライダーが押した	entailment	overlap-full	2	scrambling	train
52	会社員がスノーボーダーを助けた	スノーボーダーを会社員が助けた	entailment	overlap-full	2	scrambling	train
53	会社員が女性を見ている	女性を会社員が見ている	entailment	overlap-full	2	scrambling	train
54	女性がライダーを見つめている	ライダーを女性が見つめている	entailment	overlap-full	2	scrambling	train
55	学生がホッケー選手を追い回した	ホッケー選手を学生が追い回した	entailment	overlap-full	2	scrambling	train
56	フットボール選手が若者をいじめている	若者をフットボール選手がいじめている	entailment	overlap-full	2	scrambling	train
57	カップルが男の子を押した	男の子をカップルが押した	entailment	overlap-full	2	scrambling	train
58	テニス選手が子供を押した	子供をテニス選手が押した	entailment	overlap-full	2	scrambling	train
59	大人が男の子を見つめている	男の子を大人が見つめている	entailment	overlap-full	2	scrambling	train
60	テニス選手がサーファーをいじめている	サーファーをテニス選手がいじめている	entailment	overlap-full	2	scrambling	train
61	サーファーが学生を蹴った	学生をサーファーが蹴った	entailment	overlap-full	2	scrambling	train
62	スノーボーダーがテニス選手を蹴った	テニス選手をスノーボーダーが蹴った	entailment	overlap-full	2	scrambling	train
63	サーファーが男性を助けた	男性をサーファーが助けた	entailment	overlap-full	2	scrambling	train
64	女性が男の子を蹴った	男の子を女性が蹴った	entailment	overlap-full	2	scrambling	train
65	ホッケー選手がライダーを指さしている	ライダーをホッケー選手が指さしている	entailment	overlap-full	2	scrambling	test
66	ライダーがスノーボーダーを追いかけている	スノーボーダーをライダーが追いかけている	entailment	overlap-full	2	scrambling	train
67	子供がライダーを押した	ライダーを子供が押した	entailment	overlap-full	2	scrambling	train
68	ホッケー選手がカップルを押した	カップルをホッケー選手が押した	entailment	overlap-full	2	scrambling	train
69	会社員が女性を指さしている	女性を会社員が指さしている	entailment	overlap-full	2	scrambling	train
70	ライダーが会社員をいじめている	会社員をライダーがいじめている	entailment	overlap-full	2	scrambling	train
71	女性がカップルをいじめている	カップルを女性がいじめている	entailment	overlap-full	2	scrambling	train
72	フットボール選手が会社員をいじめている	会社員をフットボール選手がいじめている	entailment	overlap-full	2	scrambling	train
73	子供が男性をたたいている	男性を子供がたたいている	entailment	overlap-full	2	scrambling	train
74	フットボール選手がカップルをたたいている	カップルをフットボール選手がたたいている	entailment	overlap-full	2	scrambling	train
75	男性がカップルを追い払った	カップルを男性が追い払った	entailment	overlap-full	2	scrambling	train
76	若者がスノーボーダーを蹴った	スノーボーダーを若者が蹴った	entailment	overlap-full	2	scrambling	train
77	カップルがテニス選手を見つめている	テニス選手をカップルが見つめている	entailment	overlap-full	2	scrambling	train
78	サーファーが女の子を蹴った	女の子をサーファーが蹴った	entailment	overlap-full	2	scrambling	train
79	ライダーが大人を見つめている	大人をライダーが見つめている	entailment	overlap-full	2	scrambling	train
80	大人が子供を追い回した	子供を大人が追い回した	entailment	overlap-full	2	scrambling	train
81	子供がフットボール選手を追いかけている	フットボール選手を子供が追いかけている	entailment	overlap-full	2	scrambling	train
82	男の子が女の子を追い回した	女の子を男の子が追い回した	entailment	overlap-full	2	scrambling	train
